acousticness,tempo,artist,genre,year,duration_ms,song
0.283,79.918,The Pussycat Dolls,"pop, R&B",2005,207506,Stickwitu
0.0123,113.03,Justin Timberlake,pop,2016,236001,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")"
0.0297,120.008,Ellie Goulding,"pop, rock, Dance/Electronic",2010,210853,Lights - Single Version
0.0287,128.024,Calvin Harris,"hip hop, pop, Dance/Electronic",2014,212960,Blame (feat. John Newman)
0.00521,124.959,Oliver Heldens,"pop, Dance/Electronic",2014,165440,Gecko (Overdrive) - Radio Edit
0.0371,101.003,WILLOW,"pop, R&B, Dance/Electronic",2015,196520,Wait a Minute!
0.0171,177.008,The Veronicas,"pop, Dance/Electronic",2005,255360,Untouched
0.0642,91.011,Enrique Iglesias,"pop, latin",2017,207680,SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox)
0.00489,174.084,Rixton,pop,2014,193733,Me And My Broken Heart
0.0267,121.845,Drake,"hip hop, pop, R&B",2011,277386,Take Care
0.0709,140.06,Taylor Swift,pop,2014,220440,Wildest Dreams
0.0566,90.079,Ja Rule,"hip hop, pop, R&B",2002,278693,Mesmerize
0.217,78.139,Kelly Clarkson,"pop, R&B",2009,281560,Already Gone
0.102,148.005,Young Money,"hip hop, pop",2009,288133,BedRock
0.0736,92.943,Major Lazer,"hip hop, pop, Dance/Electronic",2016,185351,Cold Water (feat. Justin Bieber & MØ)
0.0826,133.592,Daniel Bedingfield,pop,2002,162333,Gotta Get Thru This - D'N'D Radio Edit
0.0884,127.98,MARINA,"pop, Dance/Electronic",2012,221075,Primadonna
0.231,133.631,Backstreet Boys,pop,2005,239586,Incomplete
0.0584,117.0,Justin Timberlake,pop,2006,242733,SexyBack (feat. Timbaland)
0.0208,103.976,Flo Rida,"hip hop, pop",2012,224653,Whistle
0.0817,93.95,David Guetta,"hip hop, pop, Dance/Electronic",2018,194680,Flames
0.386,103.993,B.o.B,"hip hop, pop",2010,268320,Nothin' on You (feat. Bruno Mars)
0.0384,102.071,MKTO,"hip hop, pop",2012,175426,Classic
0.0469,128.062,Calvin Harris,"hip hop, pop, Dance/Electronic",2012,240346,Drinking from the Bottle (feat. Tinie Tempah)
0.0114,162.958,P!nk,pop,2016,215413,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")"
0.178,110.009,M.O,"pop, Dance/Electronic",2018,214253,Bad Vibe
0.0365,146.301,Delta Goodrem,pop,2003,248546,Lost Without You
0.0162,107.853,Ariana Grande,pop,2016,244453,Into You
0.00847,112.96,Grouplove,"pop, rock, Folk/Acoustic",2011,218013,Tongue Tied
0.0109,107.993,The Ting Tings,"pop, rock, Dance/Electronic",2007,171226,Shut Up and Let Me Go
0.191,109.981,Samantha Mumba,pop,2018,201946,Gotta Tell You
0.00379,124.191,Razorlight,"rock, pop",2006,222453,In The Morning
0.102,180.042,ZAYN,"pop, Dance/Electronic",2017,239000,Dusk Till Dawn (feat. Sia) - Radio Edit
0.187,119.012,Asaf Avidan & the Mojos,pop,2012,212360,One Day / Reckoning Song (Wankelmut Remix) [Radio Edit]
0.0524,125.358,Wiz Khalifa,"hip hop, pop",2011,227773,Roll Up
0.0192,122.019,Lykke Li,"pop, Dance/Electronic",2011,281106,I Follow Rivers - The Magician Remix
0.141,107.288,Sean Paul,"hip hop, pop",2002,228000,Gimme the Light
0.0352,120.051,will.i.am,"hip hop, pop",2007,327880,Heartbreaker
0.0334,127.941,Calvin Harris,"hip hop, pop, Dance/Electronic",2012,222186,Bounce (feat. Kelis) - Radio Edit
0.0197,117.089,Sia,pop,2014,216120,Chandelier
0.45,102.998,Sam Smith,pop,2019,171029,Dancing With A Stranger (with Normani)
0.0737,99.271,Truth Hurts,"pop, R&B",2002,226440,Addictive
0.00277,203.862,112,"hip hop, pop, R&B",2001,193093,Peaches & Cream
0.134,122.728,Amy Winehouse,R&B,2006,241293,Back To Black
0.0369,107.17,Kelis,"pop, R&B, Dance/Electronic",2003,206106,Trick Me
0.173,130.072,David Guetta,"hip hop, pop, Dance/Electronic",2012,201000,Play Hard (feat. Ne-Yo & Akon)
0.186,94.05,Black Eyed Peas,"hip hop, pop",2010,219426,Just Can’t Get Enough
0.00681,120.057,Kesha,"pop, Dance/Electronic",2010,187133,Your Love Is My Drug
0.0506,111.647,My Chemical Romance,rock,2006,161920,Teenagers
0.0248,93.961,Lil' Flip,"hip hop, pop",2004,225173,Sunshine (feat. Lea)
0.0103,165.98,Marc Anthony,"pop, latin",1999,347106,You Sang To Me
0.00676,124.913,Far East Movement,"hip hop, pop",2010,216893,Like A G6
0.333,75.09,Alicia Keys,"pop, R&B",2001,303333,A Woman's Worth
0.00969,140.03,Beyoncé,"pop, R&B",2014,323480,Drunk in Love (feat. Jay-Z)
0.205,139.913,Hinder,"pop, rock, metal",2019,223533,Better Than Me
0.11,110.898,Rihanna,"hip hop, pop, R&B",2016,191600,Needed Me
0.0192,129.954,Britney Spears,pop,2008,216520,If U Seek Amy
0.0225,126.027,Ne-Yo,"pop, R&B",2008,234360,Closer
0.407,96.057,A Boogie Wit da Hoodie,hip hop,2018,179449,Look Back at It
0.111,135.095,Linkin Park,"rock, metal",2003,162600,Faint
0.0553,75.272,Eminem,hip hop,2005,281320,When I'm Gone
0.689,117.533,Britney Spears,pop,2007,196053,Break the Ice
0.00153,127.962,3 Doors Down,"pop, rock, metal",2008,241960,It's Not My Time
0.0368,160.895,Rich Boy,"hip hop, pop",2007,263920,Throw Some D's
0.0298,98.579,T.I.,"hip hop, pop",2004,216706,Bring Em Out
0.0358,96.979,Justin Bieber,pop,2012,171333,Boyfriend
0.00193,93.41,Evanescence,metal,2006,214706,Call Me When You're Sober
0.0219,93.955,Fat Joe,"hip hop, pop",2001,267093,What's Luv? (feat. Ja-Rule & Ashanti)
0.245,177.894,Disturbing Tha Peace,"hip hop, pop",2002,272293,Move Bitch
0.00801,114.988,Mark Ronson,pop,2015,269666,Uptown Funk (feat. Bruno Mars)
0.0426,116.047,Daft Punk,"hip hop, Dance/Electronic",2013,248413,Get Lucky (feat. Pharrell Williams & Nile Rodgers) - Radio Edit
0.0642,133.992,Cardi B,"hip hop, pop",2019,200889,Please Me
0.0548,98.0,Mýa,"pop, R&B",2000,236906,Case Of The Ex (Whatcha Gonna Do)
0.0381,90.482,Kanye West,hip hop,2007,237506,Flashing Lights
0.00664,99.009,3 Doors Down,"pop, rock, metal",2000,233933,Kryptonite
0.0351,77.499,D4L,"hip hop, pop",2005,224253,Laffy Taffy
0.124,128.012,Britney Spears,pop,2013,247853,Work B**ch
0.934,115.284,Billie Eilish,"pop, Dance/Electronic",2018,200185,lovely (with Khalid)
0.0353,101.969,Mike Posner,"hip hop, pop, Dance/Electronic",2016,197933,I Took A Pill In Ibiza - Seeb Remix
0.145,127.975,Foster The People,"rock, pop",2011,239600,Pumped Up Kicks
0.0195,93.034,Kanye West,hip hop,2005,207626,Gold Digger
0.201,89.976,Blu Cantrell,"pop, R&B",2001,250706,Hit 'Em Up Style (Oops!)
0.246,106.028,Liam Payne,pop,2017,204502,Strip That Down
0.0263,119.992,Bon Jovi,"rock, metal",2000,224493,It's My Life
0.372,105.922,Brandy,"hip hop, pop, R&B",2002,248933,Full Moon
0.0738,173.968,Demi Lovato,pop,2013,210840,Heart Attack
0.726,74.541,Christina Perri,pop,2011,246587,Jar of Hearts
0.0994,119.951,Stromae,pop,2010,206066,Alors on danse - Radio Edit
0.00981,168.004,Faith Evans,"hip hop, pop, R&B",2001,267160,I Love You
0.123,128.014,Lloyd,"hip hop, pop, R&B",2007,209533,Get It Shawty
0.0434,128.024,Pitbull,"hip hop, pop, latin",2011,234453,Hey Baby (Drop It to the Floor) (feat. T-Pain)
0.0206,102.961,Of Monsters and Men,"pop, rock, Folk/Acoustic",2012,266600,Little Talks
0.0541,139.861,Lil Jon & The East Side Boyz,"hip hop, pop",2004,260600,Lovers And Friends
0.174,172.049,Fabolous,"hip hop, pop, R&B",2009,231573,Throw It In The Bag
0.0918,162.519,Chingy,"hip hop, pop, R&B",2003,276800,One Call Away
0.165,94.968,Sofía Reyes,"pop, latin",2018,201526,"1, 2, 3 (feat. Jason Derulo & De La Ghetto)"
0.000932,145.916,Nickelback,"rock, metal",2005,258920,Photograph
0.0427,137.958,Jonas Brothers,pop,2019,181026,Sucker
0.0476,136.202,A.R. Rahman,set(),2009,222400,Jai Ho! (You Are My Destiny)
0.19,89.938,Imagine Dragons,rock,2012,177506,Demons
0.0724,123.091,Franz Ferdinand,rock,2005,215000,Do You Want To
0.0554,106.095,Ja Rule,"hip hop, pop, R&B",2001,257066,Livin' It Up
0.822,98.082,Emeli Sandé,"pop, R&B",2012,283706,"Read All About It, Pt. III"
0.0085,139.61,"H ""two"" O",Dance/Electronic,2008,207476,What's It Gonna Be (feat. Platnum)
0.00713,130.003,Lucenzo,latin,2011,213986,Danza Kuduro (feat. Don Omar)
0.393,75.087,Rag'n'Bone Man,R&B,2017,200186,Human
0.0117,130.075,Sia,pop,2014,257200,Elastic Heart
0.202,95.498,Aloe Blacc,R&B,2010,243053,I Need A Dollar
0.00402,115.012,N.E.R.D,hip hop,2004,213786,She Wants To Move
0.00621,130.003,Zedd,"hip hop, pop, Dance/Electronic",2015,238800,I Want You To Know
0.0847,164.062,Nelly,"hip hop, pop, R&B",2002,304000,Air Force Ones
0.0181,92.004,3 Doors Down,"pop, rock, metal",2012,243053,Let Me Go
0.00206,130.999,Kelly Clarkson,"pop, R&B",2004,188960,Since U Been Gone
0.246,133.838,Delta Goodrem,pop,2003,251280,Born to Try
0.0669,97.984,Blanco Brown,"hip hop, country",2019,200593,The Git Up
0.0143,133.973,Ciara,"pop, R&B",2013,234040,Body Party
0.0331,86.307,Drake,"hip hop, pop, R&B",2013,174120,Started From the Bottom
0.0184,139.85,DJ Fresh,"pop, Dance/Electronic",2012,206776,Louder (feat. Sian Evans) - Radio Edit
0.00205,111.995,Coldplay,"rock, pop",2015,263786,Adventure of a Lifetime
0.474,78.998,Ed Sheeran,pop,2014,281560,Thinking out Loud
0.504,77.967,Robbie Williams,"pop, rock",2001,302760,Eternity
0.0293,97.985,French Montana,"hip hop, pop",2017,233901,Unforgettable
0.563,81.897,Jason Derulo,"hip hop, pop",2013,217306,Trumpets
0.00374,126.056,Example,"pop, Dance/Electronic",2010,181826,Kickstarts
0.255,136.802,Blake Shelton,country,2013,215720,Sure Be Cool If You Did
0.0157,126.052,Lana Del Rey,pop,2013,214912,Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix
0.64,91.873,Sam Smith,pop,2017,201000,Too Good At Goodbyes
0.0302,104.504,Eminem,hip hop,2000,284200,The Real Slim Shady
0.588,99.979,Lana Del Rey,pop,2017,264011,Lust for Life (with The Weeknd)
0.00721,94.612,Evanescence,metal,2003,235893,Bring Me To Life
0.000792,104.99,Natalie La Rose,set(),2014,189906,Somebody
0.934,115.284,Billie Eilish,"pop, Dance/Electronic",2018,200185,lovely (with Khalid)
0.104,124.909,ZAYN,"pop, Dance/Electronic",2016,203686,PILLOWTALK
0.154,93.04,Céline Dion,pop,1999,241373,That's the Way It Is
0.0223,98.02,Selena Gomez,pop,2015,229080,Same Old Love
0.265,170.661,Rag'n'Bone Man,R&B,2017,239626,Skin
0.0844,89.767,Busta Rhymes,"hip hop, pop",2001,238600,Pass The Courvoisier Part II (feat. P. Diddy & Pharrell) - Remix
0.0653,93.04,J-Kwon,"hip hop, pop",2001,247106,Tipsy - Club Mix
0.000441,123.016,La Roux,"pop, Dance/Electronic",2009,205733,Bulletproof
0.0712,124.996,Yolanda Be Cool,Dance/Electronic,2010,157438,We No Speak Americano (JT Radio Edit)
0.232,95.022,LL Cool J,"hip hop, pop, R&B",2002,287000,Luv U Better
0.0193,79.178,Eminem,hip hop,2004,296880,Like Toy Soldiers
0.136,176.044,Sech,latin,2019,225933,Otro Trago
0.121,87.0,Alesha Dixon,pop,2008,210680,The Boy Does Nothing
0.098,144.142,Westlife,pop,2000,231760,My Love
0.863,79.012,Evanescence,metal,2003,262533,My Immortal
0.00575,151.551,Switchfoot,"rock, pop",2003,201373,Meant to Live
0.149,100.007,Offset,"hip hop, pop",2017,172800,Ric Flair Drip (with Metro Boomin)
0.201,100.972,Justin Timberlake,pop,2002,267266,Rock Your Body
0.0152,149.882,Shawn Mendes,pop,2015,206880,Stitches
0.337,150.017,Bruno Mars,pop,2011,257720,It Will Rain
0.138,104.948,Adele,"pop, R&B",2011,228093,Rolling in the Deep
0.278,127.894,Camille Jones,set(),2006,152333,The Creeps - Fedde Le Grand Radio Mix
0.015,75.016,21 Savage,hip hop,2017,220306,Bank Account
0.0958,90.99,Paloma Faith,"pop, R&B, Dance/Electronic",2014,232893,Only Love Can Hurt Like This
0.0724,148.113,The Game,"hip hop, pop",2008,320893,My Life
0.0239,126.014,Little Mix,pop,2017,246240,Shout Out to My Ex
0.241,99.008,Montell Jordan,"hip hop, pop, R&B",1999,276266,Get It On Tonite
0.0271,140.01,Lasgo,pop,2001,220973,Something
0.00216,147.387,Chad Kroeger,metal,2003,200480,Hero (feat. Josey Scott)
0.168,121.906,Jamiroquai,pop,2001,295400,Little L
0.0813,129.962,Eiffel 65,pop,1999,268863,Move Your Body - Gabry Ponte Original Radio Edit
0.811,103.019,EO,set(),2018,170825,German
0.154,88.928,Selena Gomez,pop,2015,221560,Good For You
0.0671,113.003,The Weeknd,"pop, R&B",2015,242253,The Hills
0.0108,65.997,Jay Sean,"hip hop, pop, R&B",2009,212106,Down
0.000235,117.971,Linkin Park,"rock, metal",2009,268613,New Divide
0.231,167.998,Backstreet Boys,pop,1999,234960,Show Me the Meaning of Being Lonely
0.247,189.857,Ellie Goulding,"pop, rock, Dance/Electronic",2015,252534,"Love Me Like You Do - From ""Fifty Shades Of Grey"""
0.00473,128.954,will.i.am,"hip hop, pop",2013,279026,This Is Love
0.0403,125.055,Nicki Minaj,"hip hop, pop",2012,205640,Pound The Alarm
0.617,120.052,Adele,"pop, R&B",2011,223266,Rumour Has It
0.0444,77.49,Destiny's Child,"pop, R&B",2004,325573,Soldier (feat. T.I. & Lil' Wayne)
0.00143,126.766,Manic Street Preachers,"rock, pop",2007,235693,Your Love Alone Is Not Enough (feat. Nina Persson)
0.256,141.971,Marshmello,"pop, Dance/Electronic",2017,180822,Silence
0.00165,118.449,The Pussycat Dolls,"pop, R&B",2008,245680,When I Grow Up
0.109,153.071,Labrinth,pop,2012,274600,Earthquake (feat. Tinie Tempah)
0.0295,129.992,Pitbull,"hip hop, pop, latin",2012,204160,Timber (feat. Ke$ha)
0.087,115.057,Rizzle Kicks,hip hop,2011,186851,Down With The Trumpets
0.108,100.021,Linkin Park,"rock, metal",2003,196906,Breaking the Habit
0.0476,111.996,Dizzee Rascal,"hip hop, pop, Dance/Electronic",2011,204093,Dance Wiv Me - Radio Edit
0.211,90.027,Coldplay,"rock, pop",2015,258266,Hymn for the Weekend
0.106,76.91,G-Unit,"hip hop, pop",2003,265026,Wanna Get To Know You
0.0303,125.011,Sugababes,"pop, R&B",2003,218173,Hole In The Head
0.0311,125.461,Missy Elliott,"hip hop, pop, R&B",2005,226863,Lose Control (feat. Ciara & Fat Man Scoop)
0.255,169.021,Lil Wayne,"hip hop, pop",2016,243490,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)"
0.209,128.013,Ne-Yo,"pop, R&B",2010,251573,Beautiful Monster
0.612,81.663,KALEO,"rock, classical",2015,219560,Way down We Go
0.0652,123.007,James Blunt,pop,2007,280026,1973
0.00188,130.064,Demi Lovato,pop,2015,205745,Confident
0.0241,141.99,Marshmello,"pop, Dance/Electronic",2016,273802,Alone
0.0827,133.974,Dr. Dre,hip hop,1999,222293,Forgot About Dre
0.0283,127.966,Flo Rida,"hip hop, pop",2010,234560,Club Can't Handle Me (feat. David Guetta)
0.206,107.075,Nelly,"hip hop, pop, R&B",2002,228240,Hot In Herre
0.421,199.764,Diddy,"hip hop, pop",2004,285586,"I Need a Girl (Pt. 2) [feat. Loon, Ginuwine & Mario Winans]"
0.0406,97.911,Santana,"rock, blues, latin",1999,261973,Maria Maria (feat. The Product G&B)
0.000176,95.975,Usher,"hip hop, pop, R&B",2010,224093,Hey Daddy (Daddy's Home)
0.0142,85.996,Busta Rhymes,"hip hop, pop",2002,324306,I Know What You Want (feat. Flipmode Squad)
0.0862,107.331,Tory Lanez,"hip hop, pop, R&B",2016,237786,Say It
0.0863,99.988,DJ Snake,"hip hop, pop, Dance/Electronic",2016,205946,Let Me Love You
0.0607,131.977,Gabriella Cilmi,R&B,2008,202133,Sweet About Me
0.00564,138.021,3OH!3,"hip hop, pop, rock",2010,192440,My First Kiss (feat. Ke$ha)
0.00215,119.906,O.T. Genasis,"hip hop, pop",2014,239573,CoCo
0.157,121.918,Kevin Gates,"hip hop, pop",2016,240000,2 Phones
0.153,110.567,Sam Smith,pop,2019,202204,How Do You Sleep?
0.581,95.977,Ed Sheeran,pop,2017,233712,Shape of You
0.157,106.031,Finger Eleven,"rock, metal",2007,208106,Paralyzer
0.183,103.141,Mariah Carey,"pop, R&B",2001,229173,Loverboy
0.0761,117.009,Selena Gomez & The Scene,"pop, Dance/Electronic",2011,188453,Love You Like A Love Song
0.0324,73.987,Chris Brown,"hip hop, pop, R&B",2011,276560,Deuces (feat. Tyga & Kevin McCall)
0.0143,127.99,Calvin Harris,"hip hop, pop, Dance/Electronic",2007,333680,Acceptable in the 80's
0.0775,96.525,Jay Sean,"hip hop, pop, R&B",2004,190493,Eyes On You - Radio Mix
0.014,150.1,DJ Khaled,"hip hop, pop",2010,232506,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)"
0.0209,103.997,Atomic Kitten,pop,2002,206093,The Tide Is High - Radio Mix
0.186,83.993,Guy Sebastian,pop,2012,250080,Battle Scars (feat. Lupe Fiasco)
0.00194,117.98,Coldplay,"rock, pop",2011,240796,Every Teardrop Is a Waterfall
0.322,99.991,J. Cole,hip hop,2013,241160,Power Trip (feat. Miguel)
0.0525,95.078,Snoop Dogg,"hip hop, pop",2011,207333,"Young, Wild & Free (feat. Bruno Mars)"
0.577,73.898,Justin Timberlake,pop,2002,288333,Cry Me a River
0.187,100.01,Erick Sermon,"hip hop, pop",2001,223133,Music (feat. Marvin Gaye)
0.223,96.991,Bryson Tiller,"hip hop, pop, R&B",2015,198293,Don't
0.52,102.053,Donell Jones,"pop, R&B",1999,253626,Where I Wanna Be
0.242,139.023,Migos,"hip hop, pop",2017,242407,T-Shirt
0.00304,119.995,Storm Queen,Dance/Electronic,2014,150400,Look Right Through - MK Vocal Edit
0.337,143.961,Future,"hip hop, pop",2016,313546,Low Life (feat. The Weeknd)
0.0275,139.976,Trick Daddy,"hip hop, pop",2001,254400,I'm a Thug
0.0012,130.989,Katy Perry,pop,2008,199186,Waking Up In Vegas
0.262,95.026,Britney Spears,pop,2000,206226,Lucky
0.434,142.016,Sheppard,"pop, rock, Dance/Electronic",2014,218227,Geronimo
0.63,76.026,The Lumineers,"pop, Folk/Acoustic",2016,160097,Ophelia
0.0251,120.08,NLE Choppa,hip hop,2019,176631,Shotta Flow (feat. Blueface) [Remix]
0.0195,108.023,Scissor Sisters,"pop, rock, Dance/Electronic",2006,288360,I Don't Feel Like Dancin'
0.592,129.297,Mariah Carey,"pop, R&B",1999,257360,Thank God I Found You (feat. Joe & 98°)
0.000431,176.667,Scouting For Girls,"pop, rock",2017,210680,This Ain't a Love Song
0.166,121.006,Keyshia Cole,"hip hop, pop, R&B",2007,255706,Last Night
0.0466,104.038,Chris Brown,"hip hop, pop, R&B",2013,213666,Fine China
0.168,110.621,Timbaland,"hip hop, pop, R&B",2007,234026,Give It To Me
0.0266,110.009,Jason Derulo,"hip hop, pop",2010,199026,In My Head
0.665,129.94,Ne-Yo,"pop, R&B",2008,254533,Mad
0.0622,171.447,Eminem,hip hop,2002,297786,'Till I Collapse
0.000138,140.083,U2,"World/Traditional, rock",2004,193520,Vertigo
0.414,95.01,The Chainsmokers,"pop, Dance/Electronic",2016,244960,Closer
0.123,130.015,Akon,pop,2008,312986,Beautiful
0.497,120.014,D12,"hip hop, pop, rock",2004,298773,My Band
0.004,137.046,Rihanna,"hip hop, pop, R&B",2006,238920,SOS
0.0156,99.002,Burak Yeter,Dance/Electronic,2016,241874,Tuesday (feat. Danelle Sandoval)
0.327,106.046,Jonas Blue,"pop, Dance/Electronic",2018,194407,Rise
0.039,111.121,The Roots,hip hop,2002,267933,The Seed (2.0)
0.128,82.92,Childish Gambino,hip hop,2013,235662,3005
0.0917,83.998,Bow Wow,"hip hop, pop, R&B",2006,238266,Outta My System (feat. T-Pain & Johntá Austin)
0.0118,95.109,Tory Lanez,"hip hop, pop, R&B",2016,228640,LUV
0.31,129.491,Jagged Edge,"hip hop, pop, R&B",2001,232573,Where the Party At (feat. Nelly)
0.000239,157.92,Hugh Jackman,easy listening,2017,302146,The Greatest Show
0.0524,96.072,A1,pop,2001,206466,Caught in the Middle
0.0895,137.972,Martin Garrix,"pop, Dance/Electronic",2017,220883,Scared to Be Lonely
0.0498,163.153,Nelly,"hip hop, pop, R&B",2004,336506,My Place
0.0412,116.017,Bruno Mars,pop,2012,178560,Treasure
0.205,113.082,Fergie,"pop, R&B",2006,268120,Big Girls Don't Cry (Personal)
0.15,78.756,Ludacris,"hip hop, pop",2006,230613,Money Maker
0.0166,127.839,ScHoolboy Q,"hip hop, pop",2012,197131,Hands on the Wheel (feat. Asap Rocky)
0.00647,82.038,Lil Jon,"hip hop, pop",2006,274386,Snap Yo Fingers
0.00454,77.019,Taylor Swift,pop,2012,219720,I Knew You Were Trouble.
0.00877,120.872,Robyn,"pop, Dance/Electronic",2005,254920,With Every Heartbeat
0.00727,119.011,Destiny's Child,"pop, R&B",2004,242013,Lose My Breath
0.349,92.729,50 Cent,"hip hop, pop",2003,224440,21 Questions
0.462,138.018,Kid Cudi,hip hop,2009,221240,Day 'N' Nite (Nightmare)
0.14,121.392,Missy Elliott,"hip hop, pop, R&B",2001,289373,4 My People (feat. Eve)
0.0142,127.045,Pitbull,"hip hop, pop, latin",2009,237120,I Know You Want Me (Calle Ocho)
0.343,101.983,Tove Lo,"pop, Dance/Electronic",2016,197815,Cool Girl
0.0141,97.062,Bad Bunny,latin,2018,210367,MIA (feat. Drake)
0.0355,119.957,Lil Baby,hip hop,2018,142273,Yes Indeed
0.00253,105.828,Mark Ronson,pop,2007,219413,Valerie (feat. Amy Winehouse) - Version Revisited
0.546,140.06,Post Malone,hip hop,2018,221440,Psycho (feat. Ty Dolla $ign)
0.0797,99.945,Justin Bieber,pop,2015,200786,Sorry
0.035,95.158,Ludacris,"hip hop, pop",2000,300933,Southern Hospitality (Featuring Pharrell)
0.381,121.996,Shawn Mendes,pop,2017,199440,There's Nothing Holdin' Me Back
0.172,84.789,Ludacris,"hip hop, pop",2010,216933,My Chick Bad
0.062,123.993,Madonna,pop,2003,276360,Die Another Day
0.615,113.049,Kiiara,"rock, pop, Dance/Electronic",2015,225882,Gold
0.0841,185.888,Mary J. Blige,"pop, R&B",2005,260466,One
0.0277,125.972,Enrique Iglesias,"pop, latin",2001,208626,Escape
0.109,138.113,One Direction,pop,2015,192120,Drag Me Down
0.108,105.006,Steps,"pop, Dance/Electronic",2000,197360,It's the Way You Make Me Feel
8.67e-05,89.956,Nickelback,"rock, metal",2008,249066,If Today Was Your Last Day
0.0108,169.131,Christina Milian,"hip hop, pop, R&B",2004,197186,Dip It Low
0.469,134.021,XXXTENTACION,hip hop,2017,119133,Jocelyn Flores
0.075,98.064,Jason Derulo,"hip hop, pop",2017,216408,Swalla (feat. Nicki Minaj & Ty Dolla $ign)
0.0373,98.986,Tyga,"hip hop, pop",2012,203200,Rack City
0.0193,96.184,Red Hot Chili Peppers,rock,2006,282160,Dani California
0.093,125.026,Ariana Grande,pop,2014,197266,One Last Time
0.103,95.313,Nas,hip hop,2002,253720,I Can
0.0893,153.067,Chingy,"hip hop, pop, R&B",2003,314400,Holidae In
0.0277,102.017,Ciara,"pop, R&B",2004,223000,Goodies (feat. Petey Pablo)
0.315,144.673,Gabrielle,"pop, R&B",2001,219093,Rise
0.0811,97.917,Sean Paul,"hip hop, pop",2002,232506,Like Glue
0.453,102.009,Pharrell Williams,"hip hop, pop",2003,236506,Frontin' (feat. Jay-Z) - Club Mix
0.000769,130.198,Foo Fighters,"rock, metal",2005,255626,Best of You
0.00915,102.958,Wiley,"hip hop, Dance/Electronic",2019,177185,Boasty (feat. Idris Elba)
0.0631,117.973,ZAYN,"pop, Dance/Electronic",2016,245200,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)"""
0.124,124.987,Selena Gomez,pop,2017,197993,Wolves
0.0261,132.722,Nelly Furtado,"hip hop, pop, latin",2006,258893,Maneater
0.273,138.009,Destiny's Child,"pop, R&B",1999,271333,Say My Name
0.161,191.863,Illy,"hip hop, pop, Dance/Electronic",2016,255889,Papercuts (feat. Vera Blue)
