Product ID (#),Name,$ Price:,Quantity,Category,Description,Production Date (DD/MM/YYYY),Expiration Date (DD/MM/YYYY),Rating:,Status
52,Пакеты для растений,9903,302,Товары для дома,"Отличается высоким содержанием антоцианов, пигментов, обладающих антиоксидантными и противовоспалительными свойствами.",2013-01-18,2014-03-14,1.68:,Sold
53,Фарш говяжий,4796,829,Мясо,"Помогает поддерживать нормальный уровень метионина, аминокислоты, необходимой для детоксикации организма.",1999-07-08,2022-01-07,2.49:,Pending
54,Зубная щетка,4498,820,Товары для дома,Способствует снижению уровня стресса и улучшению настроения.,2005-03-11,2016-05-03,3.34:,Awaiting Review
55,Укроп,708,638,Овощи,"Отличается низким содержанием натрия, что делает его безопасным для гипертоников.",2007-08-04,2015-01-02,3.24:,Available for Pickup
56,Кровяная колбаса,6867,364,Мясо,Способствует снижению уровня стресса и улучшению настроения.,2005-05-07,2014-03-15,0.43:,Delivered
57,Простыни,9832,551,Товары для дома,"Отличается высоким содержанием кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2016-09-03,2030-02-11,4.56:,Refunded
58,Фета,1447,861,Молочные продукты,Отличается стабильностью вкуса и качества в течение всего срока хранения.,2014-05-04,2030-02-14,3.22:,Shipping
59,Кардамон молотый,678,139,Бакалея,"Отличается высоким содержанием пикногенола, мощного антиоксиданта, полезного для кожи и сосудов.",1996-01-05,2000-07-15,1.66:,Awaiting Payment
60,Черника,9389,532,Фрукты,"Отличается длительным сроком годности, что позволяет делать запасы.",1998-01-07,2027-04-03,3.64:,New
61,Батат,3353,362,Овощи,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",2001-05-02,2023-01-03,2.28:,Temporarily Unavailable
62,Сок морковный,1111,126,Напитки,Представляет собой ценный источник питательных веществ для растущего организма.,1991-11-17,2022-01-05,4.5:,Backorder
63,Растительное масло горчичное,9711,552,Бакалея,Помогает поддерживать нормальный обмен веществ и метаболизм.,2022-03-03,2026-06-01,1.95:,Returned
64,Портулак,1959,470,Овощи,Помогает поддерживать нормальный уровень глюкозы в крови.,2005-06-06,2029-01-11,4.41:,Backorder
65,Адыгейский сыр,2055,998,Молочные продукты,"Помогает поддерживать нормальный уровень кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",1995-02-25,2007-04-09,2.45:,Pending
66,Салями,1150,241,Мясо,"Отличается высоким содержанием ненасыщенных жирных кислот, полезных для сердца.",1994-03-05,2023-03-11,3.58:,Awaiting Review
67,Березовский родник,4198,417,Напитки,"Помогает поддерживать нормальный уровень 5-гидрокситриптофана (5-HTP), предшественника серотонина.",2010-03-01,2012-01-10,0.64:,Refunded
68,Каша из дробленной манной крупы,7752,157,Бакалея,"Отличается высоким содержанием генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2019-03-25,2021-01-02,1.73:,Delivered
69,Укроп,2115,499,Овощи,Подходит для использования в рецептах традиционной кухни разных стран.,2005-01-08,2027-01-02,3.58:,Awaiting Payment
70,Айва,4069,255,Фрукты,"Отличается высоким содержанием меди, необходимой для синтеза коллагена и эластина.",1993-06-01,2029-01-13,1.39:,New
71,Петрушка корневая,565,573,Овощи,Отличается низкой вероятностью возникновения побочных эффектов при употреблении.,2003-01-02,2023-03-11,2.97:,Out of Stock
72,Свекла,816,198,Овощи,Рекомендуется для включения в рацион беременных женщин и кормящих матерей.,2009-03-07,2013-09-01,4.89:,Available for Pickup
73,Карбонад,9604,729,Мясо,Прошел независимые лабораторные исследования и получил положительные отзывы экспертов.,1999-01-10,2017-04-12,1.11:,Awaiting Review
74,Масло подсолнечное,941,635,Бакалея,"Отличается устойчивостью к температурным изменениям, что облегчает хранение.",2003-04-08,2018-05-05,3.32:,Available for Pickup
75,Тако с мясом,8120,675,Мясо,"Помогает поддерживать нормальный уровень цистеина, аминокислоты, участвующей в синтезе глутатиона.",1991-02-07,2015-02-19,4.87:,Backorder
76,Брокколи,5924,387,Овощи,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",2021-10-04,2022-04-04,1.55:,Refunded
77,Пшено,9777,746,Бакалея,"Помогает поддерживать нормальный уровень аллицина, вещества, обладающего антибактериальными и противогрибковыми свойствами.",2017-05-01,2024-07-09,3.4:,Backorder
78,Волгодонская,8668,670,Напитки,"Помогает поддерживать нормальный уровень кемпферола, флавоноида, полезного для здоровья сердца и сосудов.",2019-01-01,2024-05-17,1.72:,Temporarily Unavailable
79,Каша из дробленой булгура,954,844,Бакалея,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",1994-01-05,2017-02-04,2.12:,Available for Pickup
80,Клубника,4397,360,Фрукты,"Отличается высоким содержанием ниацина, необходимого для здоровья кожи и пищеварения.",1997-01-14,2019-02-17,2.68:,Delivered
81,Кабачок,8594,181,Овощи,Помогает поддерживать здоровье нервной системы благодаря содержанию магния.,1996-01-23,2029-10-10,0.09:,Awaiting Review
82,Ямс,5060,252,Овощи,"Отличается высоким содержанием пребиотиков, способствующих здоровью кишечника.",2018-01-05,2020-10-03,0.59:,Cancelled
83,Щавель,6242,118,Овощи,Высокое содержание белка обеспечивает длительное чувство сытости и способствует поддержанию мышечной массы.,2006-02-01,2012-02-01,3.45:,Backorder
84,Помидор,3573,305,Овощи,Отличается высокой степенью очистки и отсутствия посторонних примесей.,2020-01-06,2030-03-07,2.52:,Delivered
85,Сулинка,7653,151,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2016-11-03,2029-03-02,2.38:,Shipping
86,Пакеты для Дня учителя,704,742,Товары для дома,"Помогает поддерживать нормальный уровень глюкагона, гормона, регулирующего уровень глюкозы в крови.",2013-01-11,2014-01-03,2.87:,Out of Stock
87,Рамбутан,8978,133,Фрукты,"Помогает поддерживать нормальный уровень кумаринов, веществ, обладающих антикоагулянтными свойствами.",2000-07-04,2028-01-01,1.72:,Refunded
88,Ряженка,2676,371,Молочные продукты,Помогает поддерживать здоровье глаз и зрение благодаря содержанию витамина A.,1995-01-12,2002-01-08,3.77:,Shipping
89,Пармезан,2435,595,Молочные продукты,Помогает предотвратить дефицит витаминов и минералов в организме.,2002-01-04,2003-02-22,2.94:,Refunded
90,Хамон,9624,762,Мясо,Помогает улучшить работу мозга и повысить концентрацию внимания.,2017-01-23,2020-03-09,1.04:,On Backorder
91,Ливерная колбаса,3463,349,Мясо,Помогает поддерживать нормальный уровень холестерина в крови.,2020-07-09,2025-05-10,1.84:,New
92,Ряженка,1817,254,Молочные продукты,Отличается удобством использования и экономичностью в расходе.,2000-05-14,2028-05-08,3.51:,Delivered
93,Сыр,5203,998,Молочные продукты,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1995-03-07,2003-05-05,3.4:,On Backorder
94,Чечевица,1342,800,Овощи,Помогает поддерживать нормальный уровень холестерина в крови.,2015-03-20,2026-08-14,4.8:,Returned
95,Подушки,8473,81,Товары для дома,Отличается хорошей совместимостью с другими продуктами питания.,2011-02-06,2011-07-03,3.75:,On Backorder
96,Каша из манной крупы,484,423,Бакалея,Прошел все необходимые сертификации и соответствует международным стандартам.,2009-02-01,2023-03-05,0.69:,Out of Stock
97,Перец болгарский,8573,648,Овощи,Подходит для использования в диетических программах для похудения.,1990-07-05,2026-01-13,3.28:,Awaiting Review
98,Растительное масло тыквенное,7980,119,Бакалея,Подходит для использования в качестве замены традиционных молочных продуктов.,2009-01-06,2011-11-09,1.83:,Shipping
99,Пакеты для Дня влюбленных,464,763,Товары для дома,"Помогает поддерживать нормальный уровень танинов, веществ, обладающих вяжущими и антисептическими свойствами.",2022-12-21,2023-04-02,2.26:,Delivered
100,Портулак,366,543,Овощи,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",2021-09-12,2022-04-05,3.11:,Temporarily Unavailable
101,Бадьян,464,677,Бакалея,Помогает улучшить когнитивные функции и память.,1998-01-05,2015-01-02,2.02:,Shipping
102,Куриные грудки,627,77,Мясо,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",1997-04-06,2019-02-04,2.32:,Refunded
103,Пакет для хранения продуктов,8769,860,Товары для дома,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,2001-03-07,2009-01-02,1.52:,Returned
104,Спаржа,2058,278,Овощи,"Помогает улучшить состояние волос, ногтей и кожи.",2009-02-04,2010-01-02,4.72:,Out of Stock
105,Черешня,6404,602,Фрукты,"Натуральный продукт, богатый витаминами и минералами, необходимыми для поддержания здоровья.",2008-07-12,2025-07-16,4.75:,Refunded
106,Тефтели,6482,764,Мясо,Отличается высокой питательностью и способен быстро утолить голод.,1998-01-12,2026-02-02,0.37:,Cancelled
107,Курт,7022,688,Молочные продукты,"Отличается высоким содержанием хлорогеновых кислот, веществ, способствующих снижению веса и контролю уровня сахара в крови.",1991-04-01,2000-01-03,1.84:,Available for Pickup
108,Фенхель,6846,295,Овощи,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2010-02-11,2015-04-02,4.07:,Pending
109,Шелковица,2161,62,Фрукты,Отличается универсальностью применения в кулинарии и пищевой промышленности.,2016-01-09,2022-08-07,3.35:,Backorder
110,Вяленое мясо,9545,178,Мясо,"Помогает поддерживать нормальный уровень даидзеина, изофлавона, полезного для здоровья женщин во время менопаузы.",2015-01-11,2017-04-21,3.2:,Backorder
111,Соль,806,811,Бакалея,Является неотъемлемой частью рациона многих народов мира.,1996-04-01,2003-01-02,3.14:,Available for Pickup
112,Челябинская,3867,372,Напитки,Прошел тестирование на отсутствие ГМО и вредных химических соединений.,1990-03-09,2000-08-03,4.55:,On Backorder
113,Пакеты для походов,514,773,Товары для дома,Помогает поддерживать оптимальный вес и форму тела.,2016-01-09,2019-07-08,3.9:,In Stock
114,Топинамбур,2330,256,Овощи,"Отличается высоким содержанием цинка, необходимого для здоровой иммунной системы.",2011-04-02,2018-11-17,4.53:,In Stock
115,Имбирь молотый,3062,902,Бакалея,"Является источником важных микроэлементов, таких как магний и калий.",2001-01-03,2023-03-24,0.76:,Out of Stock
116,Ванилин,4364,613,Бакалея,"Является источником витаминов группы B, необходимых для энергетического обмена.",2011-04-02,2025-02-14,2.49:,Backorder
117,Куриные голени,7146,563,Мясо,"Отличается высоким содержанием витамина E, необходимого для защиты клеточных мембран.",1993-02-04,1997-01-17,4.65:,Refunded
118,Черешня,4433,936,Фрукты,"Подходит для использования в диетах, направленных на снижение веса.",2018-03-13,2023-01-08,3.61:,Out of Stock
119,Турнепс,9478,923,Овощи,Помогает поддерживать нормальный уровень мочевой кислоты в организме.,1991-03-06,2000-03-21,2.83:,In Stock
120,Ялтинская,3980,183,Напитки,"Производится из высококачественного сырья, что гарантирует его безопасность и пользу для здоровья.",1992-10-17,2018-09-16,2.83:,Temporarily Unavailable
121,Сливки,4720,701,Молочные продукты,"Отличается высоким содержанием DMAE, вещества, улучшающего умственную деятельность и настроение.",2000-04-09,2027-08-08,5.0:,Temporarily Unavailable
122,Половники,5120,586,Товары для дома,"Отличается высоким содержанием витаминов группы D, необходимых для здоровья костей и иммунитета.",2016-02-03,2020-01-05,4.81:,In Stock
123,Крыжовник,6499,4,Фрукты,Помогает поддерживать нормальный уровень глюкозы в крови.,2019-01-01,2019-02-16,3.21:,In Stock
124,Хамон,1018,808,Мясо,Поддерживает иммунитет и общее состояние здоровья.,1995-01-15,2020-03-04,1.52:,Backorder
125,Мак семена,1501,840,Бакалея,"Помогает поддерживать нормальный уровень генистеина, изофлавона, полезного для здоровья костей и профилактики рака.",2018-05-17,2021-01-10,4.0:,Cancelled
126,Персик,3568,172,Фрукты,"Является источником антиоксидантов, замедляющих процессы старения.",1992-04-01,2018-03-07,0.59:,Refunded
127,Рамбутан,6653,775,Фрукты,"Отличается высоким содержанием марганца, необходимого для здоровья костей и соединительных тканей.",1994-02-25,1996-03-10,2.18:,Temporarily Unavailable
128,Fruko Schulz,7272,50,Напитки,"Помогает поддерживать нормальный уровень кортизола, гормона стресса.",2012-09-01,2029-03-05,4.7:,Out of Stock
129,Свекла,3961,674,Овощи,Идеально подходит для употребления в чистом виде или в составе различных блюд и напитков.,1999-10-12,2016-02-21,0.31:,On Backorder
130,Смузи шпинатно-банановый,1176,342,Напитки,Может быть использован в выпечке для придания ей особой пышности и аромата.,1999-04-06,2013-02-10,0.26:,Pending
131,Персик,1328,246,Фрукты,Помогает регулировать уровень сахара в крови и предотвращать резкие скачки инсулина.,1998-02-10,2010-03-01,4.3:,On Backorder
132,Моющее средство для пола,8812,336,Товары для дома,"Отличается высоким содержанием бета-каротина, необходимого для здоровья глаз и кожи.",1990-12-15,2019-05-03,4.2:,Refunded
